Sort	Applicant / License #	Proprietary Name	Proper Name	BLA STN#	Product #	Total Drug Content (Concentration)	Approval Date	Dosage Form/Route/Presentation	Discontinued Date
210	GLAXOSMITHKLINE BIOLOGICALS / 1617	ROTARIX	"ROTAVIRUS VACCINE, LIVE, ORAL"	125265 / 0	1	1 ML ( 1 ML/DOSE )	04/03/2008	POWDER  / ORAL / SINGLE-DOSE VIAL	
211	GLAXOSMITHKLINE BIOLOGICALS / 1617	SHINGRIX	"ZOSTER VACCINE RECOMBINANT, ADJUVANTED"	125614 / 0	1	0.5 ML ( 0.5 ML/VIAL )	10/20/2017	POWDER  / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
212	GLAXOSMITHKLINE BIOLOGICALS / 1617	TWINRIX	HEPATITIS A INACTIVATED & HEPATITIS B (RECOMBINANT) VACCINE	103850 / 0	1	1 ML ( 1 ML/DOSE )	05/11/2001	SUSPENSION / INTRAMUSCULAR   / PREFILLED SYRINGE	
213	GRIFOLS BIOLOGICALS LLC / 1694	ALBUTEIN	ALBUMIN (HUMAN) 20%	102478 / 0	4	10 GM/50 ML ( 20 GM/100 ML )	08/15/1978	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
214	GRIFOLS BIOLOGICALS LLC / 1694	ALBUTEIN	ALBUMIN (HUMAN) 20%	102478 / 0	5	20 GM/100 ML ( 20 GM/100 ML )	08/15/1978	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
215	GRIFOLS BIOLOGICALS LLC / 1694	ALBUTEIN	ALBUMIN (HUMAN) 25%	102478 / 0	6	5 GM/20 ML ( 25 GM/100 ML )	08/15/1978	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
216	GRIFOLS BIOLOGICALS LLC / 1694	ALBUTEIN	ALBUMIN (HUMAN) 25%	102478 / 0	7	12.5 GM/50 ML ( 25 GM/100 ML )	08/15/1978	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
217	GRIFOLS BIOLOGICALS LLC / 1694	ALBUTEIN	ALBUMIN (HUMAN) 25%	102478 / 0	8	25 GM/100 ML ( 25 GM/100 ML )	08/15/1978	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
218	GRIFOLS BIOLOGICALS LLC / 1694	ALBUTEIN	ALBUMIN (HUMAN) 5%	102478 / 0	1	2.5 GM/50 ML ( 5 GM/100 ML )	08/15/1978	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
219	GRIFOLS BIOLOGICALS LLC / 1694	ALBUTEIN	ALBUMIN (HUMAN) 5%	102478 / 0	2	12.5 GM/250 ML ( 5 GM/100 ML )	08/15/1978	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
220	GRIFOLS BIOLOGICALS LLC / 1694	ALBUTEIN	ALBUMIN (HUMAN) 5%	102478 / 0	3	25 GM/500 ML ( 5 GM/100 ML )	08/15/1978	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
221	GRIFOLS BIOLOGICALS LLC / 1694	ALPHANATE	ANTIHEMOPHILIC FACTOR/VON WILLEBRAND FACTOR COMPLEX (HUMAN)	102475 / 0	1	250 IU ( 250 IU/VIAL )	08/15/1978	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
222	GRIFOLS BIOLOGICALS LLC / 1694	ALPHANATE	ANTIHEMOPHILIC FACTOR/VON WILLEBRAND FACTOR COMPLEX (HUMAN)	102475 / 0	2	500 IU ( 500 IU/VIAL )	08/15/1978	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
223	GRIFOLS BIOLOGICALS LLC / 1694	ALPHANATE	ANTIHEMOPHILIC FACTOR/VON WILLEBRAND FACTOR COMPLEX (HUMAN)	102475 / 0	3	1000 IU ( 1000 IU/VIAL )	08/15/1978	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
224	GRIFOLS BIOLOGICALS LLC / 1694	ALPHANATE	ANTIHEMOPHILIC FACTOR/VON WILLEBRAND FACTOR COMPLEX (HUMAN)	102475 / 0	4	1500 IU ( 1500 IU/VIAL )	08/15/1978	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
225	GRIFOLS BIOLOGICALS LLC / 1694	ALPHANATE	ANTIHEMOPHILIC FACTOR/VON WILLEBRAND FACTOR COMPLEX (HUMAN)	102475 / 0	5	2000 IU ( 2000 IU/VIAL )	06/26/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
226	GRIFOLS BIOLOGICALS LLC / 1694	ALPHANINE SD	COAGULATION FACTOR IX (HUMAN)	103249 / 0	1	500 IU ( 500 IU/VIAL )	12/31/1990	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
227	GRIFOLS BIOLOGICALS LLC / 1694	ALPHANINE SD	COAGULATION FACTOR IX (HUMAN)	103249 / 0	2	1000 IU ( 1000 IU/VIAL )	12/31/1990	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
228	GRIFOLS BIOLOGICALS LLC / 1694	ALPHANINE SD	COAGULATION FACTOR IX (HUMAN)	103249 / 0	3	1500 IU ( 1500 IU/VIAL )	12/31/1990	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
229	GRIFOLS BIOLOGICALS LLC / 1694	PROFILNINE	FACTOR IX COMPLEX	102476 / 0	1	500 IU ( 500 IU/VIAL )	07/20/1981	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
230	GRIFOLS BIOLOGICALS LLC / 1694	PROFILNINE	FACTOR IX COMPLEX	102476 / 0	2	1000 IU ( 1000 IU/VIAL )	07/20/1981	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
231	GRIFOLS BIOLOGICALS LLC / 1694	PROFILNINE	FACTOR IX COMPLEX	102476 / 0	3	1500 IU ( 1500 IU/VIAL )	07/20/1981	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
232	GRIFOLS THERAPEUTICS LLC / 1871	GAMMASTAN	IMMUNE GLOBULIN (HUMAN)	101134 / 0	1	10 ML ( 16.5% )	01/11/1944	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
233	GRIFOLS THERAPEUTICS LLC / 1871	GAMMASTAN	IMMUNE GLOBULIN (HUMAN)	101134 / 0	2	2 ML ( 16.5% )	01/11/1944	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
234	GRIFOLS THERAPEUTICS LLC / 1871	GAMUNEX-C	"IMMUNE GLOBULIN INJECTION (HUMAN), 10%, CAPRYLATE/CHROMATOGRAPHY PURIFIED"	125046 / 0	1	1 GM/10 ML ( 1 GM/10 ML )	08/27/2003	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
235	GRIFOLS THERAPEUTICS LLC / 1871	GAMUNEX-C	"IMMUNE GLOBULIN INJECTION (HUMAN), 10%, CAPRYLATE/CHROMATOGRAPHY PURIFIED"	125046 / 0	2	2.5 GM/25 ML ( 1 GM/10 ML )	08/27/2003	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
236	GRIFOLS THERAPEUTICS LLC / 1871	GAMUNEX-C	"IMMUNE GLOBULIN INJECTION (HUMAN), 10%, CAPRYLATE/CHROMATOGRAPHY PURIFIED"	125046 / 0	3	5 GM/50 ML ( 1 GM/10 ML )	08/27/2003	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
237	GRIFOLS THERAPEUTICS LLC / 1871	GAMUNEX-C	"IMMUNE GLOBULIN INJECTION (HUMAN), 10%, CAPRYLATE/CHROMATOGRAPHY PURIFIED"	125046 / 0	4	10 GM/100 ML ( 1 GM/10 ML )	08/27/2003	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
238	GRIFOLS THERAPEUTICS LLC / 1871	GAMUNEX-C	"IMMUNE GLOBULIN INJECTION (HUMAN), 10%, CAPRYLATE/CHROMATOGRAPHY PURIFIED"	125046 / 0	5	20 GM/200 ML ( 1 GM/10 ML )	08/27/2003	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
239	GRIFOLS THERAPEUTICS LLC / 1871	GAMUNEX-C	"IMMUNE GLOBULIN INJECTION (HUMAN), 10%, CAPRYLATE/CHROMATOGRAPHY PURIFIED"	125046 / 0	6	40 GM/400 ML ( 1 GM/10 ML )	08/27/2003	"SOLUTION / INTRAVENOUS, SUBCUTANEOUS / SINGLE-USE BOTTLE"	
240	GRIFOLS THERAPEUTICS LLC / 1871	HYPERHEP B S/D	HEPATITIS B IMMUNE GLOBULIN (HUMAN)	101146 / 0	1	110 IU/0.5 ML ( 220 IU/ML )	09/23/1977	SOLUTION / INTRAMUSCULAR   / PREFILLED SYRINGE	
241	GRIFOLS THERAPEUTICS LLC / 1871	HYPERHEP B S/D	HEPATITIS B IMMUNE GLOBULIN (HUMAN)	101146 / 0	2	220 IU/ML ( 220 IU/ML )	09/23/1977	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
242	GRIFOLS THERAPEUTICS LLC / 1871	HYPERHEP B S/D	HEPATITIS B IMMUNE GLOBULIN (HUMAN)	101146 / 0	3	1100 IU/5 ML ( 220 IU/ML )	09/23/1977	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
243	GRIFOLS THERAPEUTICS LLC / 1871	HYPERRAB	RABIES IMMUNE GLOBULIN (HUMAN)	101144 / 0	1	300 IU/ML ( 300 IU/ML )	06/12/1974	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
244	GRIFOLS THERAPEUTICS LLC / 1871	HYPERRAB	RABIES IMMUNE GLOBULIN (HUMAN)	101144 / 0	2	1500 IU/5 ML ( 300 IU/ML )	06/12/1974	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
245	GRIFOLS THERAPEUTICS LLC / 1871	HYPERRHO S/D	RHO(D) IMMUNE GLOBULIN (HUMAN)	101141 / 0	1	250 IU/VIAL ( 250 IU/VIAL )	06/11/1971	SOLUTION / INTRAMUSCULAR   / PREFILLED SYRINGE	
246	GRIFOLS THERAPEUTICS LLC / 1871	HYPERRHO S/D	RHO(D) IMMUNE GLOBULIN (HUMAN)	101141 / 0	2	1500 IU/VIAL ( 1500 IU/VIAL )	06/11/1971	SOLUTION / INTRAMUSCULAR   / PREFILLED SYRINGE	
247	GRIFOLS THERAPEUTICS LLC / 1871	HYPERTET S/D	TETANUS IMMUNE GLOBULIN (HUMAN)	101142 / 0	1	250 U/SYRINGE ( 250 U/SYRINGE )	10/17/1957	SOLUTION / INTRAMUSCULAR   / PREFILLED SYRINGE	
248	GRIFOLS THERAPEUTICS LLC / 1871	KOATE-DVI	ANTIHEMOPHILIC FACTOR (HUMAN)	101130 / 0	1	250 IU ( 250 IU/VIAL )	01/24/1974	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
249	GRIFOLS THERAPEUTICS LLC / 1871	KOATE-DVI	ANTIHEMOPHILIC FACTOR (HUMAN)	101130 / 0	2	500 IU ( 500 IU/VIAL )	01/24/1974	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
250	GRIFOLS THERAPEUTICS LLC / 1871	KOATE-DVI	ANTIHEMOPHILIC FACTOR (HUMAN)	101130 / 0	3	1000 IU ( 1000 IU/VIAL )	01/24/1974	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
251	GRIFOLS THERAPEUTICS LLC / 1871	PLASBUMIN	ALBUMIN (HUMAN) 20%	101138 / 0	4	10 GM/50 ML ( 20 GM/100 ML )	10/21/1942	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
252	GRIFOLS THERAPEUTICS LLC / 1871	PLASBUMIN	ALBUMIN (HUMAN) 20%	101138 / 0	5	20 GM/100 ML ( 20 GM/100 ML )	10/21/1942	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
253	GRIFOLS THERAPEUTICS LLC / 1871	PLASBUMIN	ALBUMIN (HUMAN) 25%	101138 / 0	6	5 GM/20 ML ( 25 GM/100 ML )	10/21/1942	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
254	GRIFOLS THERAPEUTICS LLC / 1871	PLASBUMIN	ALBUMIN (HUMAN) 25%	101138 / 0	7	12.5 GM/50 ML ( 25 GM/100 ML )	10/21/1942	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
255	GRIFOLS THERAPEUTICS LLC / 1871	PLASBUMIN	ALBUMIN (HUMAN) 25%	101138 / 0	8	25 GM/100 ML ( 25 GM/100 ML )	10/21/1942	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
256	GRIFOLS THERAPEUTICS LLC / 1871	PLASBUMIN	ALBUMIN (HUMAN) 5%	101138 / 0	1	2.5 GM/50 ML ( 5 GM/100 ML )	10/21/1942	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
257	GRIFOLS THERAPEUTICS LLC / 1871	PLASBUMIN	ALBUMIN (HUMAN) 5%	101138 / 0	2	12.5 GM/250 ML ( 5 GM/100 ML )	10/21/1942	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
258	GRIFOLS THERAPEUTICS LLC / 1871	PLASBUMIN	ALBUMIN (HUMAN) 5%	101138 / 0	3	25 GM/500 ML ( 5 GM/100 ML )	10/21/1942	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
259	GRIFOLS THERAPEUTICS LLC / 1871	PLASMANATE	"PLASMA PROTEIN FRACTION (HUMAN), USP"	101140 / 0	1	2.5 GM/50 ML ( 5 GM/100 ML )	10/02/1958	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
260	GRIFOLS THERAPEUTICS LLC / 1871	PLASMANATE	"PLASMA PROTEIN FRACTION (HUMAN), USP"	101140 / 0	2	12.5 GM/250 ML ( 5 GM/100 ML )	10/02/1958	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
261	GRIFOLS THERAPEUTICS LLC / 1871	PLASMANATE	"PLASMA PROTEIN FRACTION (HUMAN), USP"	101140 / 0	3	25 GM/500 ML ( 5 GM/100 ML )	10/02/1958	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
262	GRIFOLS THERAPEUTICS LLC / 1871	PROLASTIN-C	ALPHA-1-PROTEINASE INHIBITOR (HUMAN)	103174 / 0	1	1000 MG ( 1000 MG/VIAL )	12/02/1987	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
263	GRIFOLS THERAPEUTICS LLC / 1871	PROLASTIN-C LIQUID	ALPHA-1-PROTEINASE INHIBITOR (HUMAN)	103174 / 6160	3	1000 MG/20 ML ( 500 MG/ML )	09/08/2017	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
264	GRIFOLS THERAPEUTICS LLC / 1871	THROMBATE III	ANTITHROMBIN III (HUMAN)	103196 / 0	1	500 IU ( 500 IU/VIAL )	12/30/1991	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
265	GRIFOLS THERAPEUTICS LLC / 1871	XEMBIFY	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN) 20% - KLHW	125683 / 0	1	1 GM/5 ML ( 200 MG/ML )	07/03/2019	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
266	GRIFOLS THERAPEUTICS LLC / 1871	XEMBIFY	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN) 20% - KLHW	125683 / 0	2	2 GM/10 ML ( 200 MG/ML )	07/03/2019	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
267	GRIFOLS THERAPEUTICS LLC / 1871	XEMBIFY	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN) 20% - KLHW	125683 / 0	3	4 GM/20 ML ( 200 MG/ML )	07/03/2019	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
268	GRIFOLS THERAPEUTICS LLC / 1871	XEMBIFY	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN) 20% - KLHW	125683 / 0	4	10 GM/50 ML ( 200 MG/ML )	07/03/2019	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
269	ID BIOMEDICAL CORPORATION QUEBEC / 1739	FLULAVAL QUADRIVALENT	INFLUENZA VIRUS VACCINE	125163 / 253	2	60 MCG HA/0.5 ML ( 60 MCG HA/0.5 ML )	08/15/2013	SUSPENSION / INTRAMUSCULAR   / PREFILLED SYRINGE	
270	ID BIOMEDICAL CORPORATION QUEBEC / 1739	FLULAVAL QUADRIVALENT	INFLUENZA VIRUS VACCINE	125163 / 253	4	600 MCG HA/5 ML ( 60 MCG HA/0.5 ML )	08/15/2013	SUSPENSION / INTRAMUSCULAR   / MULTI-DOSE VIAL	
271	INSTITUTO GRIFOLS SA / 1181	FLEBOGAMMA DIF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125077 / 146	2	5 GM/50 ML ( 10 GM/100 ML )	12/15/2003	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
272	INSTITUTO GRIFOLS SA / 1181	FLEBOGAMMA DIF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125077 / 146	3	10 GM/100 ML ( 10 GM/100 ML )	12/15/2003	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
273	INSTITUTO GRIFOLS SA / 1181	FLEBOGAMMA DIF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125077 / 146	4	20 GM/200 ML ( 10 GM/100 ML )	12/15/2003	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
274	INSTITUTO GRIFOLS SA / 1181	FLEBOGAMMA DIF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125077 / 0	1	20 GM/400 ML ( 5 GM/100 ML )	12/15/2003	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
275	INSTITUTO GRIFOLS SA / 1181	FLEBOGAMMA DIF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125077 / 0	5	0.5 GM/10 ML ( 5 GM/100 ML )	12/15/2003	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
276	INSTITUTO GRIFOLS SA / 1181	FLEBOGAMMA DIF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125077 / 0	6	2.5 GM/50 ML ( 5 GM/100 ML )	12/15/2003	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
277	INSTITUTO GRIFOLS SA / 1181	FLEBOGAMMA DIF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125077 / 0	7	5 GM/100 ML ( 5 GM/100 ML )	12/15/2003	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
278	INSTITUTO GRIFOLS SA / 1181	FLEBOGAMMA DIF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125077 / 0	8	10 GM/200 ML ( 5 GM/100 ML )	12/15/2003	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
279	INSTITUTO GRIFOLS SA / 1181	HUMAN ALBUMIN GRIFOLS	ALBUMIN (HUMAN) 20%	103352 / 0	1	10 GM/50 ML ( 20 GM/100 ML )	02/17/1995	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
280	INSTITUTO GRIFOLS SA / 1181	HUMAN ALBUMIN GRIFOLS	ALBUMIN (HUMAN) 20%	103352 / 0	2	20 GM/100 ML ( 20 GM/100 ML )	02/17/1995	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
281	INSTITUTO GRIFOLS SA / 1181	HUMAN ALBUMIN GRIFOLS	ALBUMIN (HUMAN) 25%	103352 / 0	3	12.5 GM/50 ML ( 25 GM/100 ML )	02/17/1995	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
282	INSTITUTO GRIFOLS SA / 1181	HUMAN ALBUMIN GRIFOLS	ALBUMIN (HUMAN) 25%	103352 / 0	4	25 GM/100 ML ( 25 GM/100 ML )	02/17/1995	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
283	INSTITUTO GRIFOLS SA / 1181	VISTASEAL	FIBRIN SEALANT (HUMAN)	125640 / 0	1	2 ML ( 2 ML )	11/01/2017	SOLUTION / TOPICAL / PREFILLED SYRINGE	
284	INSTITUTO GRIFOLS SA / 1181	VISTASEAL	FIBRIN SEALANT (HUMAN)	125640 / 0	2	4 ML ( 4 ML )	11/01/2017	SOLUTION / TOPICAL / PREFILLED SYRINGE	
285	INSTITUTO GRIFOLS SA / 1181	VISTASEAL	FIBRIN SEALANT (HUMAN)	125640 / 0	3	6 ML ( 6 ML )	11/01/2017	SOLUTION / TOPICAL / PREFILLED SYRINGE	
286	INSTITUTO GRIFOLS SA / 1181	VISTASEAL	FIBRIN SEALANT (HUMAN)	125640 / 0	4	10 ML ( 10 ML )	11/01/2017	SOLUTION / TOPICAL / PREFILLED SYRINGE	
287	JUBILANT HOLLISTERSTIER LLC / 1272		POSITIVE SKIN TEST CONTROL-HISTAMINE	103891 / 0	1	6 MG/ML ( 6 MG/ML )	06/02/1999	SOLUTION / TOPICAL / MULTI-DOSE VIAL	
288	KAMADA LTD / 1826	GLASSIA	ALPHA-1-PROTEINASE INHIBITOR (HUMAN)	125325 / 0	1	1 G/50 ML ( 20 MG/ML )	07/01/2010	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
289	KAMADA LTD / 1826	KEDRAB	RABIES IMMUNE GLOBULIN (HUMAN)	125613 / 0	1	300 IU/2 ML ( 150 IU/ML )	08/23/2017	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
290	KAMADA LTD / 1826	KEDRAB	RABIES IMMUNE GLOBULIN (HUMAN)	125613 / 0	2	1500 IU/10 ML ( 150 IU/ML )	08/23/2017	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
291	KEDRION BIOPHARMA INC / 1906	MICRHOGAM	RHO(D) IMMUNE GLOBULIN (HUMAN)	103777 / 0	1	50 MCG/SYRINGE ( 50 MCG/SYRINGE )	04/23/1998	SOLUTION / INTRAMUSCULAR   / PREFILLED SYRINGE	
292	KEDRION BIOPHARMA INC / 1906	RHOGAM	RHO(D) IMMUNE GLOBULIN (HUMAN)	103777 / 0	2	300 MCG/SYRINGE ( 300 MCG/SYRINGE )	04/23/1998	SOLUTION / INTRAMUSCULAR   / PREFILLED SYRINGE	
293	KEDRION SPA / 1851	KEDBUMIN	ALBUMIN (HUMAN)	125384 / 0	1	"12.5 GM/50 ML ( 25 GM/100 ML, 25% )"	06/03/2011	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
294	KEDRION SPA / 1851	KEDBUMIN	ALBUMIN (HUMAN)	125384 / 0	2	"25 GM/100 ML ( 25 GM/100 ML, 25% )"	09/05/2013	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
295	KITE PHARMA INC / 2064	YESCARTA	AXICABTAGENE CILOLEUCEL	125643 / 0	1	~68 ML/BAG ( ~68 ML/BAG )	10/18/2017	SUSPENSION / INTRAVENOUS / PLASTIC CONTAINER	
296	MASSBIOLOGICS / 1779	TDVAX	TETANUS AND DIPHTHERIA TOXOIDS ADSORBED	101322 / 0	1	0.5 ML/DOSE ( 0.5 ML/DOSE )	07/27/1970	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
297	MCM VACCINE COMPANY / 2007	VAXELIS	"DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS ADSORBED, INACTIVATED POLIOVIRUS, HAEMOPHILUS B CONJUGATE [MENINGOCOCCAL PROTEIN CONJUGATE] AND HEPATITIS B [RECOMBINANT] VACCINE"	125563 / 0	1	0.5 ML/DOSE ( 0.5 ML/DOSE )	12/21/2018	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
298	MEDIMMUNE LLC / 1799	FLUMIST QUAD	"INFLUENZA VIRUS VACCINE LIVE, INTRANASAL"	125020 / 1668	1	0.2 ML ( 0.2 ML/SPRAY )	02/29/2012	SUSPENSION / INTRANASAL / PREFILLED SPRAYER	
299	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002		ANTIVENIN (LATRODECTUS MACTANS)	101062 / 0	1	"NLT 6,000 U ( NLT 6,000 U/VIAL )"	02/13/1936	"POWDER  / INTRAVENOUS, INTRAMUSCULAR / SINGLE-DOSE VIAL"	
300	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002		NORMAL HORSE SERUM	101084 / 0	1	1 ML ( 1 ML/VIAL )	01/02/1959		
301	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	GARDASIL 9	HUMAN PAPILLOMAVIRUS 9-VALENT VACCINE RECOMBINANT	125508 / 0	1	0.5 ML ( 0.5 ML/DOSE )	12/10/2014	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
302	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	M-M-R II	"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE LIVE"	101069 / 0	1	0.5 ML ( 0.5 ML/DOSE )	04/22/1971	POWDER  / SUBCUTANEOUS / SINGLE-DOSE VIAL	
303	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	PEDVAXHIB	HAEMOPHILUS B CONJUGATE VACCINE (MENINGOCOCCAL PROTEIN CONJUGATE)	103237 / 0	1	7.5 MCG/0.5 ML ( 7.5 MCG/0.5 ML )	12/20/1989	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
304	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	PNEUMOVAX 23	"PNEUMOCOCCAL VACCINE, POLYVALENT"	101094 / 0	1	2.5 ML ( 0.5 ML/DOSE )	11/21/1977	"SOLUTION / INTRAMUSCULAR, SUBCUTANEOUS / MULTI-DOSE VIAL"	
305	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	PNEUMOVAX 23	"PNEUMOCOCCAL VACCINE, POLYVALENT"	101094 / 5911	2	0.5 ML ( 0.5 ML/DOSE )	11/21/1977	"SOLUTION / INTRAMUSCULAR, SUBCUTANEOUS / SINGLE-DOSE VIAL & PREFILLED SYRINGE"	
306	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	PROQUAD	"MEASLES, MUMPS, RUBELLA, AND VARICELLA VIRUS VACCINE LIVE"	125108 / 0	1	0.5 ML ( 0.5 ML/VIAL )	09/06/2005	POWDER  / SUBCUTANEOUS / SINGLE-DOSE VIAL	
307	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	"RECOMBIVAX, RECOMBIVAX HB"	HEPATITIS B VACCINE (RECOMBINANT)	101066 / 0	1	10 MCG/ML ( 10 MCG/ML )	07/23/1986	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
308	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	"RECOMBIVAX, RECOMBIVAX HB"	HEPATITIS B VACCINE (RECOMBINANT)	101066 / 0	2	40 MCG/ML ( 40 MCG/ML )	07/23/1986	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
309	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	"RECOMBIVAX, RECOMBIVAX HB"	HEPATITIS B VACCINE (RECOMBINANT)	101066 / 0	3	5 MCG/0.5 ML ( 10 MCG/ML )	07/23/1986	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
