Cat No	Product Name	Cas Number	SMILES	Primary Action	Biological Description	References	Product Type	Public Caveats	URL	Previous Order	UK Controlled	USA Controlled	Date Added
2905	TB 21007	[207306-50-1]	O=C2C1=C(SCCO)SC(C3=NC=CS3)=C1CC(C)(C)C2	_5-selective GABAA inverse agonist	"GABAA receptor inverse agonist selective for the _5-subtype (Ki values are 1.6, 16, 20 and 20 nM for _5, _2, _1 and _3 subtypes respectively). Brain penetrant; enhances cognitive performance in rats in the delayed matching-to-place morris water maze test following i.p. administration."	"Chambers et al (2003) Identification of a novel, selective GABA5 _5 receptor inverse agonist which enhances cognition. J.Med.Chem. 46 2227. PMID:12747794."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5396	SQ1341			Apr-2008
2906	TRO 19622	[22033-87-0]	[H][C@@]23CCC1=CC(CC[C@@](C)1[C@]([H])2CC[C@@]4(C)[C@]([H])3CC[C@@]([H])4[C@@H](CCCC(C)C)C)=NO	Binds voltage-dependent anion channel (VDAC)	"Neuroprotective and neuroregenerative compound. Rescues motor neurons from axotomy-induced cell death and promotes nerve regeneration following sciatic nerve crush in vivo. Binds directly to two components of the mitochondrial permeability pore, the voltage-dependent anion channel (VDAC) and translocator protein; thought to inhibit MPTP opening."	"Bordet et al (2007) Identification and characterization of cholest-4-en-3-one, oxime (TRO19622), a novel drug candidate for amyotrophic lateral sclerosis. J.Pharmacol.Exp.Ther. 322 709. PMID:17496168."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5400	SQ1070			Jan-2008
2907	SU 9516	[377090-84-1]	O=C2NC1=CC=C(OC)C=C1/C2=C/C3=CNC=N3	Potent cdk2 inhibitor	"Potent, selective cdk2 inhibitor (IC50 values are 0.022, 0.04, 0.2, >10, >10, 18 and >100 _M for cdk2, cdk1, cdk4, PKC, p38, PDGFR and EGFR respectively). Inhibits pRb phosphorylation causing enhanced pRB/E2F complex formation and induces G1 and G2-M cell cycle arrest. Transcriptionally downregulates Mcl-1 and has antiproliferative, cytostatic and pro-apoptotic effects in vitro."	"Lane et al (2001) A novel cdk2-selective inhibitor, SU9516, induces apoptosis in colon carcinoma cells. Cancer Res. 61 6170. PMID:11507069. Yu et al (2002) SU9516, a cyclin-dependent kinase 2 inhibitor, promotes accumulation of high molecular weight E2F complexes in human colon carcinoma cells. Biochem.Pharmacol. 64 1091. PMID:12234612. Gao et al (2006) The three-substituted indolinone cyclin-dependent kinase 2 inhibitor 3-[1-(3H-Imidazol-4-yl)-meth-(Z)-ylidene]-5-methoxy-1,3-dihydro-indol-2-one (SU9516) kills human leukemia cells via down-regulation of Mcl-1 through a transcriptional mechanism. Mol.Pharmacol. 70 645. PMID:16672643."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5401	SQ1341			Nov-2008
2908	EO 1428	[321351-00-2]	CC1=CC=CC=C1C(C2=CC=C(NC3=C(N)C=C(Br)C=C3)C=C2Cl)=O	Selective inhibitor of p38_ and p38_2	"Selective inhibitor of p38_ and p38_2 that displays no activity at p38_, p38_, ERK1/2 and JNK1. Inhibits production of inflammatory cytokines including IL-8, TNF-_, IL-6, IL-1_ and IL-10 (IC50 values are 4, 5, 17, 30 and 74 nM respectively). Displays anti-inflammatory activity in murine models of acute and chronic dermatitis."	Ottosen et al (2003) Synthesis and structure-activity relationship of aminobenzophenones. A novel class of p38 MAP kinase inhibitors with high antiinflammatory activity. J.Med.Chem. 46 5651. PMID:14667219.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5402	SQ1533			Jul-2008
2910	H 89 dihydrochloride	[130964-39-5]	O=S(C2=CC=CC1=CN=CC=C12)(NCCNC/C=C/C3=CC=C(Br)C=C3)=O.Cl.Cl	Protein kinase A inhibitor	"Protein kinase A inhibitor that also inhibits several other kinases (IC50 values are 80, 120, 135, 270, 2600 and 2800 nM for S6K1, MSK1, PKA, ROCKII, PKB_ and MAPKAP-K1b)."	Vitolo et al (2002) Amyloid _-peptide inhibition of the PKA/CREB pathway and long-term potentiation: reversibility by drugs that enhance cAMP signaling. Proct.Natl.Acad.Sci.USA 99 13217. Lochner and Moolman (2006) The many faces of H89: a review. Cardiovasc.Drug Rev. 24 261. PMID:17214602. Yamada et al (2006) Involvement of cAMP response element-binding protein activation in salivary secretion. Pathobiology 73 1. PMID:16785762.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5403	SQ1533			Nov-2007
2911	Ro 04-6790	[202466-68-0]	NC1=CC=C(S(NC2=NC(NC)=NC(NC)=C2)(=O)=O)C=C1	Potent and selective 5-HT6 antagonist	Potent and selective 5-HT6 receptor antagonist (pKi values are 7.26 and 7.35 at rat and human 5-HT6 receptors respectively). Displays no affinity at a range of other receptors (IC50 > 10 _M). Induces stretching behavior in rats in vivo.	"Sleight et al (1998) Characterization of Ro 04-6790 and Ro 63-2563: potent and selective antagonists at human and rat 5-HT6 receptors. Br.J.Pharmacol. 124 556. PMID:9647481. Bentley et al (1999) Investigation of stretching behaviour induced by the selective 5-HT6 receptor antagonist, Ro 04-6790, in rats. Br.J.Pharmacol. 126 1537. PMID:10323584. Fone (2008) An update on the role of the 5-hydroxytryptamine6 receptor in cognitive function. Neuropharmacology 55 1015. PMID:18655798."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5404	SQ1341			Nov-2008
2913	Ro 64-5229	[246852-46-0]	ClC1=CC=CC(Cl)=C1/C(OC3CCCCCC3)=C/N2N=CN=C2	"Selective, non-competitive mGlu2 antagonist"	"Selective, non-competitive mGlu2 antagonist. Inhibits GTP_35S binding to mGlu2-containing membranes (IC50 = 0.11 _M)."	"Kolczewski et al (1999) Synthesis of heterocyclic enol ethers and their use as a group 2 metabotropic glutamate receptor antagonists. Bioorg.Med.Chem.Lett. 9 2173. PMID:10465539. Brauner-Osbourne et al (2007) Structure, pharmacology and therapeutic prospects of family C G-protein coupled receptors. Curr.Drug Targets. 8 169. PMID:17266540."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=76565	SQ1070			Nov-2010
2916	Ro 32-3555	[190648-49-8]	O=[C@@](N3CCCCC3)[C@H](CC1CCCC1)[C@@H]([C@](NO)=O)CN2C(N(C)C(C)(C)C2=O)=O	"Potent, collagenase-selective MMP inhibitor"	"Potent, collagenase-selective MMP inhibitor (Ki values are 3.0, 3.4, 4.4, 59, 154 and 527 nM for MMP-1, MMP-13, MMP-8, MMP-9, MMP-2 and MMP-3 respectively). Inhibits cartilage breakdown in vitro and in vivo and displays antiarthritic activity. Orally active."	"Lewis et al (1997) Ro 32-3555, an orally active collagenase inhibitor, prevents cartilage breakdown in vitro and in vivo. Br.J.Pharmacol. 121 540. PMID:9179398. Broadhurst et al (1997) Design and synthesis of the cartilage protective agent (CPA, Ro32-3555). Bioorg.Med.Chem.Letts. 7 2299. Brewster et al (1998) Ro 32-3555, an orally active collagenase selective inhibitor, prevents structural damage in the SRT/ORT mouse model of osteoarthritis. Arthrit.Rheumat. 41 1639."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5407	SQ1070			Jan-2010
2917	Venlafaxine hydrochloride	[99300-78-4]	OC2(CCCCC2)C(CN(C)C)C1=CC=C(OC)C=C1.Cl	Dual serotonin/noradrenalin re-uptake inhibitor	Dual serotonin/noradrenalin re-uptake inhibitor that displays ~ 30-fold higher affinity for SERT than NET (Ki values are 82 and 2480 nM respectively). Antidepressant; increases swimming and climbing behavior in the forced-swim test in rats.	"Bymaster et al (2001) Comparative affinity of duloxetine and venlafaxine for serotonin and norepinephrine transporters in vitro and in vivo, human serotonin receptor subtypes, and other neuronal receptors. Neuropsychopharmacol. 25 871. Magalas et al (2005) The serotonin/noradrenaline reuptake inhibitor venlafaxine attenuates acquistion, but not maintenance, of intravenous self-administration of heroin in rats. Eur.J.Pharmacol. 528 103. PMID:16325805. Gould et al (2006) A comparison of the chronic treatment effects of venlafaxine and other antidepressants on serotonin and norepinephrine transporters. Biol.Psychiatry 59 408. PMID:16140280."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=104898	SQ1533			Nov-2007
2918	Veratridine	[71-62-5]	O=C(C8=CC=C(OC)C(OC)=C8)O[C@H]1CC[C@@]2(C)[C@@]3([H])[C@@](O)1O[C@@]42[C@@]([C@@](C[C@H](O)[C@@]6(O)[C@]([H])5CN7[C@](CC[C@H](C)C7)([H])[C@@](O)6C)(O)[C@@]5(O)C4)([H])CC3	Voltage-gated Na+ channel opener	Voltage-gated Na+ channel opener; increases intracellular Ca2+ with no effect on the Na+/Ca2+ exchanger. Steroid-derived alkaloid neurotoxin. Increases membrane Na+ permeability and depolarizes excitable tissues.	"McKinney et al (1986) Purification, solubility and pKa of veratridine. Anal.Biochem. 153 33. PMID:3963380. Maroto et al (1994) Effects of Ca2+ channel antagonists on chromaffin cell death and cytosolic Ca2+ oscillations induced by veratridine. Eur.J.Pharmacol. 270 331. PMID:7805782. Fekete et al (2009) Mechanism of the persistant sodium current activator veratridine-evoked Ca2+ elevation: implication for epilepsy. J.Neurochem. 111 745. PMID:19719824."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5475	SQ1070			Oct-2010
2921	MTEP hydrochloride	[1186195-60-7]	CC1=NC(C#CC2=CN=CC=C2)=CS1.Cl	"Potent, selective mGlu5 antagonist"	"Potent, selective and non-competitive mGlu5 antagonist (IC50 = 5 nM in Ca2+-flux assay; Ki= 16 nM). Displays anxiolytic activity in vivo and is orally active."	"Brodkin et al (2002) Reduced stress-induced hyperthermia in mGluR5 knockout mice. Eur.J.Neurosci. 16 2241. PMID:12473093. Cosford et al (2003) 3-[(2-Methyl-1,3-thiazol-4-yl)ethynyl]- pyridine: A potent and highly selective metabotropic glutamate subtype 5 receptor antagonist with anxiolytic activity. J.Med.Chem. 46 204. PMID:12519057. Roppe et al (2004) 5-[(2-Methyl-1,3-thiazol-4-yl)ethynyl]-2,3'-bipyridine: a highly potent, orally active metabotropic glutamate subtype 5 (mGlu5) receptor antagonist with anxiolytic activity. Bioorg.Med.Chem.Lett. 14 3993. PMID:15225713. Klodzinska et al (2004) Anxiolytic-like effects of MTEP, a potent and selective mGlu5 receptor agonist does not involve GABAA signaling. Neuropharmacology 47 342. PMID:15275823. Bradbury et al (2005) Metabotropic glutamate receptor mGlu5 is a mediator of appetite and energy balance in rats and mice. J.Pharmacol.Exp.Ther. 313 395. PMID:15590770."	Small Molecule	"Manufactured and sold under license from Merck & Co., Inc. for use solely for preclinical research purposes (ie: not for administration to or other use in humans)"	http://www.tocris.com/dispprod.php?ItemId=5408	SQ1070			Apr-2009
2924	NBMPR	[38048-32-7]	OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3SCC4=CC=C([N+]([O-])=O)C=C4)[C@H](O)[C@@H]1O	Equilibrative nucleoside transporter 1 (ENT1) inhibitor	Equilibrative nucleoside transporter 1 (ENT1) inhibitor (Ki values are 0.4 and 2800 nM for hENT1 and hENT2 respectively).	"Ward et al (2000) Kinetic and pharmacological properties of cloned human equilibrative nucleoside transporters, ENT1 and ENT2, stably expressed in nucleoside transporter-deficient PK15 cells. J.Biol.Chem. 275 8375. PMID:10722669. Tsujie et al (2007) Human equilibrative nucleoside transporter 1, as a predictor of 5-fluorouracil resistance in human pancreatic cancer. Anticancer Res. 27 2241. PMID:17695509. Lin and Buolamwini (2007) Synthesis and flow cytometric evaluation, and identification of highly potent dipyridamole analogues as equilibrative nucleoside transporter 1 inhibitors. J.Med.Chem. 50 3906. PMID:17636949."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5411	SQ1341			Jan-2008
2925	LP 12 hydrochloride	[1185136-22-4]	O=C(CCCCCN3CCN(C4=C(C5=CC=CC=C5)C=CC=C4)CC3)NC2CCCC1=CC=CC=C12.Cl	5-HT7 agonist	"5-HT7 receptor agonist displaying selectivity over D2, 5-HT1A and 5-HT2A receptors (Ki values are 0.22, 7.3, 52.7 and 326 nM respectively). Induces relaxation of substance P-induced contractions in guinea pig ileum (EC50 = 1.77 _M)."	"Leopoldo et al (2007) Structure-activity relationship study on N-(1,2,3,4-tetrahydronaphthalen-1-yl)-4-aryl-1-piperazinehexanamides, a class of 5-HT7 receptor agents. J.Med.Chem. 50 4214. PMID:17649988."	Small Molecule	Sold under license from the University of Bari	http://www.tocris.com/dispprod.php?ItemId=150067	SQ1341			Feb-2008
2926	FPA 124	[902779-59-3]	Cl[Cu]Cl.NC(=S)N\N=C\C1=COC2=C(C=CC=C2)C1=O	Akt/PKB inhibitor	Akt/PKB inhibitor (IC50 = 100 nM) that interacts with the PH and kinase domains. Inhibits cell proliferation in various cancer cell lines in vitro and decreases NF-_B activity and tumor load in vivo.	"Barve et al (2006) Synthesis, molecular characterization, and biological activity of novel synthetic derivatives of chromen-4-one in human cancer cells. J.Med.Chem. 49 3800. PMID:16789737."	Small Molecule	Sold under license from Wayne State University	http://www.tocris.com/dispprod.php?ItemId=5433				Apr-2008
2927	WS 3	[39711-79-0]	CC1CC(C(NCC)=O)C(C(C)C)CC1	TRPM8 agonist; cooling agent	Cooling agent that is an agonist at TRPM8 receptors (EC50 = 3.7 _M).	Behrendt et al (2004) Characterization of the mouse cold-menthol receptor TRPM8 and vanilloid receptor type-1 VR1 using a fluorometric imaging plate reader (FLIPR) assay. Br.J.Pharmacol. 141 737. PMID:14757700. Bodding (2007) TRP proteins and cancer. Cell Signal. 19 617. PMID:17029734. Rovner (2007) Better than mint. C&EN 85 95.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=84877	SQ1070			Nov-2007
2928	CB 13	[432047-72-8]	O=C(C3=CC=CC4=C3C=CC=C4)C2=CC=C(OCCCCC)C1=CC=CC=C12	Potent dual CB1/CB2 agonist	"Potent, orally active CB1/CB2 receptor agonist with limited brain penetration (EC50 values are 6.1 and 27.9 nM for CB1 and CB2 receptors respectively). Displays antihyperalgesic activity in a rat model of neuropathic pain with no CNS side effects."	"Dziadulewicz et al (2007) Naphthalen-1-yl-(4-pentyloxynaphthalen-1-yl)methanone: a potent, orally bioavailable human CB1/CB2 dual agonist with antihyperalgesic properties and restricted central nervous system penetration. J.Med.Chem. 50 3851. PMID:17630726. Cluny et al (2010) Naphthalen-1-yl-(4-pentyloxynaphthalen-1-yl)methanone (SAB378), a peripherally restricted cannabinoid CB1/CB2 receptor agonist, inhibits gastrointestinal motility but has no effect on experimental colitis in mice. J.Pharmacol.Exp.Ther. 334 973. PMID:20571060."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=144640	SQ1341			Oct-2008
2929	PEPA	[141286-78-4]	FC1=CC(SCCNS(C2=CC=CC=C2)(=O)=O)=CC(F)=C1OCC(N)=O	Allosteric potentiator of AMPA receptor desensitization	Novel allosteric potentiator of AMPA receptor desensitization. Slows the rate of onset of desensitization and potentiates steady-state equilibrium currents induced by glutamate with subunit (GluR3/4 > GluR1) and splice variant (flop > flip) selectivity. Ameliorates post-ischemic memory impairment in rats following i.v. administration.	"Sekiguchi et al (1997) A novel allosteric potentiator of AMPA receptors: 4-[2-(phenylsulfonylamino)ethylthio]-2,6-difluoro-phenoxyacetamide. J.Neurosci. 17 5760. PMID:9221774. Sekiguchi et al (2001) The AMPA receptor allosteric potentiator PEPA ameliorates post-ischemic memory impairment. Neuroreport 12 2974. Sekiguchi et al (2002) A desensitization-selective potentiator of AMPA-type glutamate receptors. Br.J.Pharmacol. 136 1033. PMID:12145103."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=100226	SQ1341			Feb-2008
2930	PI 103 hydrochloride	[371935-79-4]	OC1=CC(C(N=C4N5CCOCC5)=NC3=C4OC2=NC=CC=C23)=CC=C1.Cl	"Inhibitor of PI 3-kinase, mTOR and DNA-PK"	"Inhibitor of DNA-PK, PI 3-kinase (p110_) and mTOR (IC50 values are 2, 8, 20, 26, 48, 83, 88, 150, 850, 920, ~ 1000 and 2300 nM for DNA-PK, p110_, mTORC1, PI 3-KC2_, p110_, mTORC2, p110_, p110_, ATR, ATM, PI 3-KC2_ and hsVPS34 respectively). Inhibits growth of human tumor xenografts in mice in vivo. Induces autophagosome formation in glioma cells."	Fan et al (2006) A dual PI3 kinase/mTOR inhibitor reveals emergent efficacy in glioma. Cancer cell 9 341. PMID:16697955. Knight et al (2006) A pharmacological map of the PI3-K family defines a role for p110_ in insulin signaling. Cell 125 733. PMID:16647110. Raynaud et al (2007) Pharmacologic characterization of a potent inhibitor of class I phosphatidylinositol 3-kinase. Cancer Res. 67 5840. PMID:17575152. Fan et al (2010) Akt and autophagy cooperate to promote survival of drug-resistant glioma. Sci.Signal. 3 ra81. PMID:21062993.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5490	SQ1533			Mar-2008
2932	CP 465022 hydrochloride	[199655-36-2]	O=C2N(C3=CC=CC=C3Cl)C(/C=C/C4=NC(CN(CC)CC)=CC=C4)=NC1=CC=C(F)C=C12.Cl	"Selective, non-competitive AMPA antagonist"	"Selective, non-competitive AMPA antagonist (IC50 = 25 nM in rat cortical neurons) that displays potent anticonvulsant activity. Also significantly blocks the persistent component of Nav1.6 channel activity. Brain penetrant and orally active."	"Lazaro et al (2002) Functional characterization of CP-465,022, a selective, noncompetitive AMPA receptor antagonist. Neuropharmacology 42 143. PMID:11804610. Menniti et al (2003) CP-465,022, a selective noncompetitive AMPA receptor antagonist, blocks AMPA receptors but is not neuroprotective in vivo. Stroke 34 171. PMID:12511770. Welch et al (2008) Traditional AMPA receptor antagonists partially block Nav1.6-mediated persistent current. Neuropharmacology 55 1165. PMID:18687344."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=166781	SQ1070			May-2009
2936	NSC 66811	[6964-62-1]	CC2=NC1=C(O)C(C(NC4=CC=CC=C4)C3=CC=CC=C3)=CC=C1C=C2	MDM2 antagonist. Disrupts MDM2-p53 interaction	"Potent MDM2 inhibitor (Ki = 120 nM) which disrupts MDM2-p53 interaction and activates p53 function. Induces p21, p53 and MDM2 accumulation in human colon cancer cells in vitro."	"Lu et al (2006) Discovery of a nanomolar inhibitor of the human murine double minute 2 (MDM2)-p53 interaction through an integrated, virtual database screening strategy. J.Med.Chem. 49 3759. PMID:16789731. Shangary and Shaomeng (2009) Small-molecule inhibitors of the MDM2-p53 protein-protein interaction to reactivate p53 function: a novel approach for cancer therapy. Ann.Rev.Pharmacol.Toxicol. 49 223."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5481	SQ1070			Nov-2009
2937	Atipamezole hydrochloride	[104075-48-1]	CCC2(C3=CN=CN3)CC1=CC=CC=C1C2.Cl	Selective _2 antagonist	"Selective _2-adrenergic receptor antagonist (Ki values are 1.1, 1.0, 0.89, 1300 and 6500 nM for _2A, _2B, _2C, _1A and _1B receptors respectively). Brain penetrant."	"Virtanen et al (1989) Highly selective and specific antagonism of central and peripheral alpha 2-adrenoceptors by atipamezole. Arch.Int.Pharmacodyn.Ther. 297 190. PMID:2567152. Puurunen et al (2001) An _2-adrenergic antagonist, atipamezole, facilitates behavioral recovery after focal cerebral ischemia in rats. Neuropharmacology 40 597. PMID:11249969. Jurgens et al (2007) _2A adrenergic receptor activation inhibits epileptiform activity in the rat hippocampal CA3 region. Mol.Pharmacol. 71 1572. PMID:17341653."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5428	SQ1533			Mar-2010
2939	A 83-01	[909910-43-6]	S=C(NC5=CC=CC=C5)N(N=C3C4=NC(C)=CC=C4)C=C3C2=CC=NC1=CC=CC=C12	"Selective inhibitor of TGF-_RI, ALK4 and ALK7"	"Potent inhibitor of TGF-_ type I receptor ALK5 kinase, type I activin/nodal receptor ALK4 and type I nodal receptor ALK7 (IC50 values are 12, 45 and 7.5 nM respectively). Blocks phosphorylation of Smad2 and inhibits TGF-_-induced epithelial-to-mesenchymal transition. Only weakly inhibits ALK-1, -2, -3, -6 and MAPK activity. More potent than SB 431542 (Cat.No. 1614). Inhibits differentiation of rat induced pluripotent stem cells (riPSCs) and increases clonal expansion efficiency. Helps maintain homogeneity and long-term in vitro self-renewal of human iPSCs."	Tojo et al (2005) The ALK5 inhibitor A-83-01 inhibits smad signaling and epithelial-to-mesenchymal transition by transforming growth factor-_. Cancer.Sci. 96 791. PMID:16271073. Hoberg et al (2008) Attachment to laminin-111 facilitates transforming growth factor _-induced expression of matrix metalloproteinase-2 in synovial fibroblasts. Ann.Rheum.Dis. 66 446. Li et al (2009) Generation of rat and human induced pluripotent stem cells by combining genetic reprogramming and chemical inhibitors. Cell Stem Cell 4 16. PMID:19097958.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5414	SQ1533			May-2008
2942	CI 1020	[162256-50-0]	O=C1C(C2=CC=C(OCO4)C4=C2)=C(CC3=CC(OC)=C(OC)C(OC)=C3)C(O)(C5=CC=C(OC)C=C5)O1	"Highly selective, orally active ETA antagonist"	"Highly selective, orally active, non-peptide endothelin-A receptor (ETA) antagonist (IC50 values are 0.3 and 480 nM for ETA and ETB receptors respectively). Antihypertensive; blocks ET-1-induced pressor responses following oral administration."	Doherty et al (1995) Discovery of a novel series of orally active non-peptide endothelin-A (ETA) receptor-selective antagonists. J.Med.Chem. 38 1259. PMID:7731010. Jones et al (1999) The effect of the endothelin ETA receptor antagonist CI-1020 on hypoxic pulmonary vasoconstriction. Eur.J.Pharmacol. 374 367. PMID:10422781. Coe et al (2002) The endothelin A receptor antagonists PD 156707 (CI-1020) and PD 180988 (CI-1034) reverse the hypoxic pulmonary vasoconstriction in ther perinatal lamb. J.Pharmacol.Exp.Ther. 302 672. PMID:12130731.	Small Molecule	Sold for research purposes under agreement from Pfizer Inc.	http://www.tocris.com/dispprod.php?ItemId=67978	SQ1341			Mar-2008
2946	TRAM 34	[289905-88-0]	ClC(C=CC=C4)=C4C(N2C=CC=N2)(C3=CC=CC=C3)C1=CC=CC=C1	Potent and highly selective KCa3.1 channel blocker	"Potent and highly selective blocker of intermediate conductance Ca2+-activated K+ channels (KCa3.1) (Kd = 20 nM). Exhibits 200-1500-fold selectivity over KV, BKCa, KCa2, Na+, CRAC and Cl- channels. Suppresses the reactivation of lymphocytes by mitogenic stimuli."	"Wulff et al (2000) Design of a potent and selective inhibitor of the intermediate-conductance Ca2+-activated K+ channel, IKCa1: a potential immunosuppressant. Proc.Natl.Acad.Sci. USA 97 8151. Schilling and Eder (2007) TRAM-34 inhibits nonselective cation channels. Pflugers Arch. 454 559. PMID:17318643. Wang et al (2007) An intermediate-conductance Ca2+-activated K+ channel mediates B lymphoma cell cycle progression induced by serum. Pflugers Arch. 454 945. PMID:17429684."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5466	SQ1533			Feb-2008
2947	Methimepip dihydrobromide	[817636-54-7]	CN1CCC(CC2=CNC=N2)CC1.Br.Br	Extremely selective H3 agonist	"Extremely selective histamine H3 receptor agonist (pKi values are 9.0, 5.7, < 5.0 and < 5.0 for hH3, hH4, hH1 and hH2 receptors respectively). Potently inhibits EFS-evoked contractions of guinea pig ileum (pD2 = 8.26)."	Kitbunnadaj et al (2005) N-substituted piperidinyl alkyl imidazoles: discovery of methimepip as a potent and selective histamine H3 receptor agonist. J.Med.Chem. 48 2100. PMID:15771452.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5479	SQ1341			Apr-2008
2952	CI 994	[112522-64-2]	O=C(NC2=C(N)C=CC=C2)C1=CC=C(NC(C)=O)C=C1	Class I histone deacetylase inhibitor; orally active	"Orally active class I histone deacetylase (HDAC) inhibitor (Ki values are 0.41, 0.75, >100 and >100 _M for HDAC1, HDAC3, HDAC6 and HDAC8 respectively). Mediates G1 cell cycle arrest, inhibits proliferation and induces apoptosis in vitro and in vivo. Increases neuroplasticity during memory extinction."	Kraker et al (2003) Modulation of histone acetylation by [4-(acetylamino)-N-(2-amino-phenyl) benamide] in HCT-8 colon carcinoma. Mol.Cancer Ther. 2 401. PMID:12700284. Beckers et al (2007) Distinct pharamacologcial properties of second generation HDAC inhibitors with the benzamide or hydroxamate head group. Int.J.Cancer 121 1138. PMID:17455259. Grff et al (2014) Epigenetic priming of memory updating during reconsolidation to attenuate remote fear memories. Cell 156 261. PMID:24439381.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=110225				Mar-2009
2953	CyPPA	[73029-73-9]	CC1=NC(N2N=C(C)C=C2C)=NC(NC3CCCCC3)=C1	Activator of KCa2.2 and KCa2.3 channels	Activator of small conductance Ca2+-activated K+ channels that displays selectivity for KCa2.2 (SK2) and KCa2.3 (SK3) channels (EC50 values are 5.6 and 14 _M for KCa2.3 and KCa2.2 respectively). Displays no activity at KCa2.1 (SK1) and KCa3.1 (IK) channels.	Hougaard et al (2007) Selective positive modulation of the SK3 and SK2 subtypes of small conductance Ca2+-activated K+ channels. Br.J.Pharmacol. 151 655. PMID:17486140.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5477	SQ1341			Sep-2008
2954	PX 12	[141400-58-0]	CC(CC)SSC1=NC=CN1	Thioredoxin-1 inhibitor	"Thioredoxin-1 (Trx-1) inhibitor; irreversibly inactivates Trx-1 as a substrate for reduction by thioredoxin reductase (TR); competitively inhibits the reduction of Trx-1 by TR (Ki = 30.8 _M). Attenuates expression of HIF-1_, VEGF and iNOS (IC50 values are 7.2, 10.4 and 18.1 _M respectively). Exhibits antitumor activity; directly inhibits tubulin in vitro and decreases tumor microvessel density in vivo."	Kirkpatrick et al (1998) Mechanisms of inhibition of the thioredoxin growth factor system by antitumor 2-imidazolyl disulfides. Biochem.Pharmacol. 55 987. PMID:9605422. Welsh et al (2003) The thioredoxin redox inhibitors 1-methylpropyl 2-imidazolyl disulfide and pleurotin inhibit hypoxia-induced factor 1_ and vascular endothelial growth factor formation. Mol.Cancer.Ther. 2 235. PMID:12657718. Jordan et al (2005) The thioredoxin-1 inhibitor 1-methylpropyl 2-imidazolyl disulfide (PX-12) decreases vascular permeability in tumor xenografts monitored by dynamic contrast enhanced magnetic resonance imaging. Clin.Cancer Res. 11 529. PMID:15701837.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5418	SQ1533			Jul-2010
2956	Picropodophyllotoxin	[477-47-4]	O=C3OC[C@]([C@@]([H])3[C@@H]4[C@]5=CC(OC)=C(OC)C(OC)=C5)([H])[C@@H](O)C1=C4C=C(OCO2)C2=C1	Selective IGF1R inhibitor	"Orally active insulin-like growth factor 1 receptor (IGF1R) inhibitor that exhibits no activity at the insulin receptor, FGFR, PDGFR or EGFR. Inhibits IGF1R autophosphorylation (IC50 ~ 1 nM), increases the fraction of cells in the G2/M phase and upregulates apoptosis. Exhibits antiproliferative effects in multiple cancer cell lines (IC50 = 0.05 - 15 _M), and has anticancer and antineovascularization activity in vivo."	"Girnita et al (2004) Cyclolignans as inhibitors of the insulin-like growth factor-1 receptor and malignant cell growth. Cancer Res. 64 236. PMID:14729630. Stromberg et al (2006) IGF-1 receptor tyrosine kinase inhibition by the cyclolignan PPP induces G2/M-phase accumulation and apoptosis in multiple myeloma cells. Blood 107 669. PMID:16166596. Economou et al (2008) Inhibition of VEGF secretion and experimental choroidal neovascularization by picropodophyllin (PPP), an inhibitor of the insulin-like growth factor-1 receptor. Invest.Ophthalmol.Vis.Sci. 49 2620. PMID:18515591."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=5421	SQ1533			Jun-2009
