Application Number	Trade Name	Sponsor Name
140-845	Flavomycin¨ / Monteban¨	Huvepharma EOOD
140-846	PrimeX¨	"Wildlife Laboratories, Inc."
140-847	Animax¨ Ointment	"Fougera Pharmaceuticals, Inc."
140-850	Elite Dog & Cat Wormer	"RSR Laboratories, Inc."
140-851	NFZ¨ Wound Dressing	Neogen Corp.
140-853	BMD¨ / Monteban¨	Zoetis Inc.
140-854	"Synanthic¨ Bovine Dewormer Suspension 22.5%, Synanthic¨ Bovine Dewormer Suspension 9.06%"	"Boehringer Ingelheim Vetmedica, Inc."
140-856	P.G. 600¨	"Intervet, Inc."
140-857	Equestrolinª	"Virbac AH, Inc."
140-859	Bio-Cox¨/Aureomycin¨	Zoetis Inc.
140-862	Dormosedanª	Orion Corp.
140-863	"Paylean¨ 45, Paylean¨ 9"	Elanco US Inc.
140-865	"Baciferm¨ / Albac¨, Baciferm¨ / Monteban¨"	Zoetis Inc.
140-866	Yobine¨ Injection	"Akorn Animal Health, Inc."
140-872	Posilacª	Elanco US Inc.
140-874	Antagonil	"Wildlife Laboratories, Inc."
140-879	Derma 4 Ointment	Zoetis Inc.
140-881	Nitrofurazone Soluble Dressing	"Med-Pharmex, Inc."
140-883	"Legend¨ Injectable Solution, Legend¨ Multi Dose"	"Merial, Inc."
140-886	Heartgard¨ Chewables For Dogs	"Merial, Inc."
140-890	"Excenel Sterile Suspension, Excenel¨ RTU, Excenel¨ Sterile Powder"	Zoetis Inc.
140-892	"Synanthic¨ Bovine Dewormer Paste, 18.5%"	Zoetis Inc.
140-893	Cestex¨	Zoetis Inc.
140-896	Otomax¨	"Intervet, Inc."
140-897	"Revalor¨-G, Revalor¨-IS, Revalor¨-S"	"Intervet, Inc."
140-901	"Adequan¨ i.m., Adequan¨ i.m. Multi-Dose"	"Luitpold Pharmaceuticals, Inc."
140-908	Veta-Methª	"Lloyd, Inc."
140-909	Sulka-Sª Bolus	Zoetis Inc.
140-912	Rintal¨ Tabs Anthelmintic Tablets	"Bayer HealthCare LLC, Animal Health Division"
140-913	Baytril¨ Antibacterial Injectable Solution	"Bayer HealthCare LLC, Animal Health Division"
140-915	Interceptorª	Elanco US Inc.
140-916	Denagard¨ Liquid Concentrate	Elanco US Inc.
140-918	Flavomycin¨ / Stenorol¨	Huvepharma EOOD
140-919	BMD¨ / Stenorol¨	Huvepharma EOOD
140-921	PrednisTab¨	"Lloyd, Inc."
140-926	BMD¨ / Maxiban¨	Elanco US Inc.
140-927	Chorulon¨	"Intervet, Inc."
140-929	Micotil¨ 300	Elanco US Inc.
140-934	Valbazen¨	Zoetis Inc.
140-937	BMD¨ / Coban¨	Elanco US Inc.
140-940	Aviaxª Premix for Broiler Chickens	Phibro Animal Health Corp.
140-942	Flavomycin¨ / Maxiban¨	Elanco US Inc.
140-951	Clinacoxª	Elanco US Inc.
140-954	SAFE-GUARD¨ plus LINCOMIX¨	"Intervet, Inc."
140-955	Coban¨ / Flavomycin¨	Elanco US Inc.
140-971	Heartgard¨ Plus	"Merial, Inc."
140-973	Ventipulmin¨ Syrup	"Boehringer Ingelheim Vetmedica, Inc."
140-974	Ivomec¨ Premix for Swine	"Merial, Inc."
140-976	"Neomix Ag¨ 325 Medicated Premix, Neomix¨ 325 Medicated Premix"	Zoetis Inc.
140-988	Ivomec¨ Sustained-Release Bolus for Cattle	"Merial, Inc."
140-989	Parasite-S¨	Syndel USA
140-992	"Revalor¨-200, Revalor¨-H, Revalor¨-IH"	"Intervet, Inc."
140-994	Tolazineª Injection	"Akorn Animal Health, Inc."
140-998	"V-Max¨, V-Max¨ 50"	Phibro Animal Health Corp.
140-999	Domitor¨	Orion Corp.
141-002	"OXY 1000 Calf Bolus, OXY 500 Calf Bolus"	"Boehringer Ingelheim Vetmedica, Inc."
141-003	Derm-Otic Ointment	Zoetis Inc.
141-004	Robamox¨-V	Zoetis Inc.
141-005	Robamox¨-V Tablets	Zoetis Inc.
141-007	"Drontal¨ Plus, Drontal¨ Plus Taste Tabs¨, QUAD DEWORMER"	"Bayer HealthCare LLC, Animal Health Division"
141-008	Drontal¨ Tablets	"Bayer HealthCare LLC, Animal Health Division"
141-011	Denagard¨ plus CTC	Elanco US Inc.
141-014	Super-Ov¨	"Therio, Inc."
141-015	Enacard¨ Tablets For Dogs	"Merial, Inc."
141-025	Cattlyst¨	Zoetis Inc.
141-026	Programª Suspension	Elanco US Inc.
141-029	Percortenª-V	Elanco US Inc.
141-033	Antisedan¨	Orion Corp.
141-034	GAINPRO¨ 10	Huvepharma EOOD
141-035	Program¨ Flavor Tabs¨	Elanco US Inc.
141-036	Pirsue¨ Sterile Solution	Zoetis Inc.
141-038	Adequan¨ Canine	"Luitpold Pharmaceuticals, Inc."
141-042	Immiticide Sterile Powder	"Merial, Inc."
141-043	"SYNOVEX Choice¨, SYNOVEX PLUS¨"	Zoetis Inc.
141-044	Ovuplantª	"Virbac AH, Inc."
141-047	Torbugesic-SA¨	Zoetis Inc.
141-051	ProHeartª	Zoetis Inc.
141-052	Optimmune¨	"Intervet, Inc."
141-053	Rimadyl¨ Caplets	Zoetis Inc.
141-054	IVOMEC¨ plus LINCOMIX¨	"Merial, Inc."
141-059	BMD¨ and ChlorMax¨	Zoetis Inc.
141-060	Deccox¨ - M Medicated Powder for Whole Milk	Zoetis Inc.
141-061	Dectomax¨ Injectable Solution for Cattle and Swine	Zoetis Inc.
141-062	Program¨ Cat Flavor Tabsª	Elanco US Inc.
141-063	Nuflor¨ 	"Intervet, Inc."
141-064	Pulmotilª 90	Elanco US Inc.
141-065	Aviaxª / BMD¨	Phibro Animal Health Corp.
141-067	Oxyglobin¨	"OPK Biotech, LLC"
141-068	Baytril¨ 100 Injectable Solution	"Bayer HealthCare LLC, Animal Health Division"
141-069	First Guard¨ Sterile Powder	Zoetis Inc.
141-070	Rapanofalª	iVaoes Animal Health
141-071	Imizol¨	"Intervet, Inc."
141-074	Trexonil¨	"Wildlife Laboratories, Inc."
141-077	Adspec¨ Sterile Solution	Zoetis Inc.
141-078	Heartgard¨ for Cats	"Merial, Inc."
141-079	Eprinex¨ Pour-On for Beef and Dairy Cattle	"Merial, Inc."
141-080	Anipryl¨	Zoetis Inc.
141-081	Orbax¨ Tablets	"Intervet, Inc."
141-082	Doxirobeª Gel	Zoetis Inc.
141-083	Avatec¨ / Baciferm¨	Zoetis Inc.
141-084	Sentinel¨ Flavor Tabs¨	"Virbac AH, Inc."
141-085	BMD¨ / Zoamix¨	Zoetis Inc.
141-087	Quest¨ Gel	Zoetis Inc.
141-095	Dectomax¨ Pour-on Solution for Cattle	Zoetis Inc.
141-096	Dicural¨ Tablets	"Boehringer Ingelheim Vetmedica, Inc."
141-097	BMD¨ / Ivomec¨ Premix for Swine	"Merial, Inc."
141-098	"PropoFloª, PropoFloª 28"	Zoetis Inc.
141-099	Cydectin¨ (moxidectin) Pour-On for Beef and Dairy Cattle	"Bayer HealthCare LLC, Animal Health Division"
141-102	BMD¨ / Deccox¨	Zoetis Inc.
141-103	SevoFlo¨	Zoetis Inc.
141-105	Programª 6 Month Injectable for Cats	Elanco US Inc.
141-107	Bapten¨ For Injection	"Alaco, Inc."
141-108	EtoGesic¨ Tablets	"Boehringer Ingelheim Vetmedica, Inc."
141-109	Avatec¨ / Baciferm¨	Zoetis Inc.
141-111	Rimadyl¨ Chewable Tablets	Zoetis Inc.
141-114	Aviax¨ and Stafac¨	Phibro Animal Health Corp.
141-120	Clomicalmª Tablets	Elanco US Inc.
141-123	GastroGard¨	"Merial, Inc."
141-124	BMD¨ / Maxiban¨	Zoetis Inc.
141-129	Avatec¨ / Flavomycin¨	Huvepharma EOOD
141-130	BMD¨ and Zoamix¨	Zoetis Inc.
141-136	Bio-Cox¨ / BMD¨	Zoetis Inc.
141-137	Pennitracin MD 50G¨	Pharmgate LLC
141-140	BMD¨ / Coban¨	Zoetis Inc.
141-143	"Noromycin¨ 300 LA, TETRADUREª 300"	"Norbrook Laboratories, Ltd."
141-144	BMD¨ / Safe-Guard¨	Zoetis Inc.
141-146	Nicarb¨ / Baciferm¨	Phibro Animal Health Corp.
141-147	Chloromax¨ and Deccox¨	Zoetis Inc.
141-148	Deccox¨ / Rumensin¨	Zoetis Inc.
141-149	Deccox¨ and Rumensinª and Tylanª	Zoetis Inc.
141-151	Zeniquin¨	Zoetis Inc.
141-152	Revolution¨	Zoetis Inc.
141-153	BMD¨ / Clinacoxª	Elanco US Inc.
141-154	BMD¨ / Robenz¨	Zoetis Inc.
141-156	Amprol¨ / BMD¨	Zoetis Inc.
141-158	Clinacoxª / Flavomycin¨	Elanco US Inc.
141-163	Milbemiteª Otic Solution	Elanco US Inc.
141-171	Purina Sugar Mag Block 1440 BVT Medicated Mineral Block	Purina Animal Nutrition LLC
141-172	Payleanª/Tylanª	Elanco US Inc.
141-174	Acarexx¨	"Boehringer Ingelheim Vetmedica, Inc."
141-175	Capstarª	Elanco US Inc.
141-176	Baytril¨ Otic	"Bayer HealthCare LLC, Animal Health Division"
141-177	Mometamaxª Otic Suspension	"Intervet, Inc."
141-179	Avatec¨ / BMD¨	Zoetis Inc.
141-180	Torpexª	"Boehringer Ingelheim Vetmedica, Inc."
141-181	Avatec¨ / Albac¨	Zoetis Inc.
141-185	Aureomycin¨ / Deccox¨	Zoetis Inc.
141-186	Surpass¨ Topical Anti-Inflammatory Cream	"Boehringer Ingelheim Vetmedica, Inc."
141-187	Crystalyx¨ Iono-Lyx¨	Ridley USA Inc.
141-188	Marquis¨ Antiprotozoal Oral Paste	"Merial, Inc."
141-189	ProHeart¨ 6	Zoetis Inc.
141-192	Ralgro¨ L. A.	"Intervet, Inc."
141-193	Zubrinª Rapidly-Disintegrating Tablets	"Intervet, Inc."
141-194	BMD¨ / Clincox¨	"Elanco Animal Health, A Division of Eli Lilly & Co."
141-195	Clinacoxª/ Flavomycin¨	Elanco US Inc.
141-199	Rimadyl¨ Sterile Injectable Solution	Zoetis Inc.
141-200	EAZI-BREEDª CIDR¨ Cattle Insert	Zoetis Inc.
141-201	Aureomycin¨ and Cattlyst¨	Zoetis Inc.
141-203	Deramaxx¨ Chewable Tablets	Elanco US Inc.
141-204	Sentinel¨ Flavor Tabs¨ and Capstar¨ Flea Management Systemª	"Virbac AH, Inc."
141-205	Program¨ Flavor Tabs¨ and Capstar¨ Flea Management Systemª	Elanco US Inc.
141-206	Nuflor¨ Concentrate Solution	"Intervet, Inc."
141-207	Advocinª Sterile Injectable Solution	Zoetis Inc.
141-208	Advantage¨ DUO	"Bayer HealthCare LLC, Animal Health Division"
141-209	Excede¨	Zoetis Inc.
141-210	Genesis¨ Topical Spray	"Virbac AH, Inc."
141-211	Mecadox¨ and Terramycin¨	Phibro Animal Health Corp.
141-213	Metacam¨ Oral Suspension	"Boehringer Ingelheim Vetmedica, Inc."
141-214	ZIMECTERIN¨ Gold Paste	"Merial, Inc."
141-215	Equimax¨	"Virbac AH, Inc."
141-216	Quest¨ Plus Gel	Zoetis Inc.
141-217	Zeuterinª	"Ark Sciences, Inc."
141-218	Atopicaª	Elanco US Inc.
141-219	Metacam¨ 5 mg/mL Solution for Injection	"Boehringer Ingelheim Vetmedica, Inc."
141-220	Cydectin¨ 	"Bayer HealthCare LLC, Animal Health Division"
141-221	Optaflexx¨ 45	Elanco US Inc.
141-222	Matrix¨	"Intervet, Inc."
141-224	Optaflexxª and Rumensinª and Tylanª	Elanco US Inc.
141-225	Optaflexxª plus Rumensin¨	Elanco US Inc.
141-227	UlcerGard¨	"Merial, Inc."
141-228	Buscopan¨ Injectable Solution	"Boehringer Ingelheim Vetmedica, Inc."
141-229	Sedivet¨	"Boehringer Ingelheim Vetmedica, Inc."
141-230	Previcox¨ Chewable Tablets	"Merial, Inc."
141-232	Simplicef¨	Zoetis Inc.
141-233	Optaflexxª and Rumensinª and Tylanªand MGA¨	Elanco US Inc.
141-234	Optaflexxª / Rumensin¨ / MGA¨	Elanco US Inc.
141-235	Excede¨ For Swine	Zoetis Inc.
141-236	Vetsulin¨	"Intervet, Inc."
141-238	Spectramast¨ LC Sterile Suspension	Zoetis Inc.
141-239	Spectramastª DC Sterile Suspension	Zoetis Inc.
141-240	ReBalance¨	"Pegasus Laboratories, Inc."
141-241	Zimecterin-EZª	"Farnam Companies, Inc."
141-244	Draxxin¨	Zoetis Inc.
141-245	Tributameª Euthanasia Solution	Cronus Pharma Specialities India Private Limited
141-246	Aquaflor¨ Type A Medicated Article	"Intervet, Inc."
141-247	Cydectin¨ Oral Drench for Sheep	"Bayer HealthCare LLC, Animal Health Division"
141-250	Aureomycin¨  and Bovatec¨	Zoetis Inc.
141-251	Advantage Multi¨ for Dogs	"Bayer HealthCare LLC, Animal Health Division"
141-253	Equioxx¨ Oral Paste	"Merial, Inc."
141-254	Advantage Multi¨ for Cats	"Bayer HealthCare LLC, Animal Health Division"
141-255	35% Perox-aid¨	Syndel USA
141-257	Iverhart Max¨	"Virbac AH, Inc."
141-258	Zilmax¨	"Intervet, Inc."
141-260	Slentrol¨	Zoetis Inc.
141-261	Sentry¨ HC Worm X Plus¨	"Virbac AH, Inc."
141-262	Cerenia¨ Tablets	Zoetis Inc.
141-263	Cerenia¨ Injectable Solution	Zoetis Inc.
141-264	Nuflor¨	"Intervet, Inc."
141-265	NuflorGOLDª	"Intervet, Inc."
141-266	Posatex¨ Otic Suspension	"Intervet, Inc."
141-267	Dexdomitor¨	Orion Corp.
141-268	Protazilª	"Intervet, Inc."
141-269	"Revalor¨-XH, Revalor¨-XS"	"Intervet, Inc."
141-272	Reconcile¨	"Pegasus Laboratories, Inc."
141-273	Vetmedin¨	"Boehringer Ingelheim Vetmedica, Inc."
141-274	Etogesic¨ Sterile Injectable Solution	"Boehringer Ingelheim Vetmedica, Inc."
141-275	Profender¨	"Bayer HealthCare LLC, Animal Health Division"
141-276	Zilmax¨ and Rumensinª and Tylanª	"Intervet, Inc."
141-277	Comfortis¨	Elanco US Inc.
141-278	Zilmax¨ plus Rumensin¨	"Intervet, Inc."
141-279	Nicarb¨ 25% plus BMD¨	Zoetis Inc.
141-280	Zilmax¨ and Rumensinª and Tylanª and MGA¨	"Intervet, Inc."
141-281	Aviax¨ II	Phibro Animal Health Corp.
141-282	Zilmax¨/Rumensin¨/MGA¨	"Intervet, Inc."
141-284	Zilmax¨ plus MGA¨	"Intervet, Inc."
141-285	Convenia¨	Zoetis Inc.
141-286	Panacur¨ Plus	"Intervet, Inc."
141-288	EXCENEL¨ RTU EZ	Zoetis Inc.
141-289	Aviax II¨ plus Stafac¨	Phibro Animal Health Corp.
141-290	Topmaxª 9	Elanco US Inc.
141-291	Vetoryl¨	"Dechra, Ltd."
141-292	Felimazole¨	"Dechra, Ltd."
141-294	Bc6 rDNA construct in GTC 155-92 Goats	"LFB USA, Inc."
141-295	Palladia¨	Zoetis Inc.
141-297	Prozinc¨	"Boehringer Ingelheim Vetmedica, Inc."
141-298	Surolan¨	Elanco US Inc.
141-299	Resflor Gold¨	"Intervet, Inc."
141-301	Topmaxª plus Coban¨	Elanco US Inc.
141-302	EAZI-BREEDª CIDR¨ Sheep Insert	Zoetis Inc.
141-303	PropoClearª	Zoetis Inc.
141-305	Orbax¨	"Intervet, Inc."
141-306	Dormosedan Gel¨	Orion Corp.
141-312	Hexasolª Injection	"Norbrook Laboratories, Ltd."
141-313	Equioxx¨ Injection	"Merial, Inc."
141-314	Equidone¨ Gel	"Dechra, Ltd."
141-319	SucroMateª Equine	Thorn Bioscience LLC
141-320	onsior¨ Tablets for Cats	Elanco US Inc.
141-321	Trifexisª	Elanco US Inc.
141-322	Improvest¨	Zoetis Inc.
141-324	PROIN¨ Chewable Tablets	"Pegasus Laboratories, Inc."
141-325	Incurinª	"Intervet, Inc."
141-326	Rilexine¨ Chewable Tablets	"Virbac AH, Inc."
141-327	Longrange¨	"Merial, Inc."
141-328	Zactran¨	"Merial, Inc."
141-329	Atopicaª for Cats	Elanco US Inc.
141-330	Easotic¨	"Virbac AH, Inc."
141-331	Prascend¨	"Boehringer Ingelheim Vetmedica, Inc."
141-333	Sentinel¨ Spectrum¨	"Virbac AH, Inc."
141-334	Zuprevoª	"Intervet, Inc."
141-336	Aivlosin¨	ECO LLC
141-337	Recuvyra¨	Elanco US Inc.
141-338	INTERCEPTORª PLUS	Elanco US Inc.
141-339	OvuGelª	"United-AH II, LLC"
141-340	Skycisª 100	Elanco US Inc.
141-342	Alfaxan¨ Multidose	Jurox Pty. Ltd.
141-343	Pulmotil¨ 90 and Rumensin¨ 90	Elanco US Inc.
141-344	Veraflox¨ Oral Suspension for Cats	"Bayer HealthCare LLC, Animal Health Division"
141-345	apoquel¨	Zoetis Inc.
141-346	OroCAM¨ Transmucosal Oral Spray	Zoetis Inc.
141-348	"SYNOVEX¨ ONE FEEDLOT, SYNOVEX¨ ONE GRASS"	Zoetis Inc.
141-349	Draxxin¨ 25 Injectable Solution	Zoetis Inc.
141-350	None	Air Liquide America Specialty Gases
141-351	None	Air Liquide America Specialty Gases
141-354	None	Air Liquide Industrial U.S. L.P.
141-357	None	Air Liquide Industrial U.S. L.P.
141-358	None	Air Liquide Large Industries U.S. L.P.
141-359	None	Air Liquide Large Industries U.S. L.P.
141-360	EQUISUL-SDT¨	"Aurora Pharmaceutical, LLC"
141-361	Pulmotilª AC	Elanco US Inc.
141-362	None	Linde LLC
141-363	None	Linde Gas North America LLC
141-364	None	Linde LLC
141-365	None	Linde LLC
141-366	None	Machine and Welding Supply Company
141-367	None	Industrial Gas Distributors
141-368	None	"Purity Cylinder Gases, Inc."
141-369	None	"Norco, Inc."
141-370	None	"WestAir Gases & Equipment, Inc."
141-371	None	"Linde Merchant Production, Inc."
141-372	None	"Linde Gas Puerto Rico, Inc."
141-373	None	Linde Canada LTD
141-374	None	"Linde Gas Puerto Rico, Inc."
141-375	None	"Norco, Inc."
141-376	None	"Scott-Gross Company, Inc."
141-377	None	"DuPuy Oxygen & Supply Company, Inc."
141-379	None	Air Liquide America L.P.
141-380	None	Air Liquide America L.P.
141-381	None	"Airgas Merchant Gases, LLC"
141-382	None	"Airgas Merchant Gases, LLC"
141-383	None	"Airgas USA, LLC"
141-384	None	"Airgas USA, LLC"
141-385	None	"Airgas Carbonic, Inc."
141-386	None	"Oxarc, Inc."
141-387	None	"Praxair, Inc."
141-388	None	"Praxair, Inc."
141-389	None	"Praxair, Inc."
141-390	None	"Praxair, Inc."
141-391	None	"NexAir, LLC"
141-392	Imrestorª	Elanco US Inc.
141-393	None	"Aspen Air, US Corp"
141-394	None	"Aspen Air, US Corp"
141-395	None	"Air Products and Chemicals, Inc."
141-396	None	"Air Products and Chemicals, Inc."
141-397	None	"Air Products and Chemicals, Inc."
141-398	None	Air Liquide America L.P.
141-399	None	"Matheson Tri-Gas, Inc."
141-400	None	"Matheson Tri-Gas, Inc."
141-401	None	"Matheson Tri-Gas, Inc."
141-402	None	Praxair Distribution Inc.
141-403	None	"Praxair Distribution Mid-Atlantic, LLC"
141-404	None	"Praxair Distribution Mid-Atlantic, LLC"
141-405	None	Praxair Distribution Inc.
141-406	NexGard¨	"Merial, Inc."
141-407	None	Praxair Canada Inc.
141-408	None	Praxair Canada Inc.
141-409	None	"United States Welding, Inc."
141-410	None	Acetylene Oxygen Company
141-411	None	Nitrous Oxide Corp
141-412	None	Nitrous Oxide of Canada
141-413	None	"Airgas USA, LLC"
141-414	None	"Airgas USA, LLC"
141-415	None	"Airgas USA, LLC"
141-416	None	Air Liquide Healthcare America Corporation
141-417	CORAXISª	"Bayer HealthCare LLC, Animal Health Division"
141-418	BetaVet¨	"Luitpold Pharmaceuticals, Inc."
141-419	Coyden¨ and Flavomycin¨	Huvepharma EOOD
141-420	Tildren¨	Bimeda Animal Health Limited
141-421	Duocareª	"Merial, Inc."
141-423	HALAMID¨ AQUA	Axcentive SARL
141-425	None	Linde Gas North America LLC
141-426	Bravectoª	"Intervet, Inc."
141-427	Osphos¨	"Dechra, Ltd."
141-428	None	Cee Kay Supply
141-430	Stafac¨ and Cobanª	Phibro Animal Health Corp.
141-431	FOLLTROPIN¨	"Vetoquinol USA, Inc."
141-432	None	American Welding & Gas Inc.
141-434	Simbadolª	Zoetis Inc.
141-435	advantusª	"Bayer HealthCare LLC, Animal Health Division"
141-437	Osurniaª	Elanco US Inc.
141-438	Kavaultª	Elanco US Inc.
141-439	Inteprityª	Elanco US Inc.
141-440	CLARO¨	"Bayer HealthCare LLC, Animal Health Division"
141-441	IVERHART MAX¨ Soft Chew	"Virbac AH, Inc."
141-442	LUTALYSE¨ HighCon Injection	Zoetis Inc.
141-443	onsior¨ injection	Elanco US Inc.
141-444	Zycortal¨ Suspension	"Dechra, Ltd."
141-445	Revalor¨-XR	"Intervet, Inc."
141-446	None	Strata Medical Innovations
141-448	Thyro-Tabs¨ Canine	"Lloyd, Inc."
141-449	Safe-Guard¨ AquaSol	"Intervet, Inc."
141-450	Banamine¨ Transdermal	"Intervet, Inc."
141-452	Simparica¨	Zoetis Inc.
141-453	hLAL rDNA construct in SBC LAL-C chickens	"Alexion Pharmaceuticals, Inc."
141-454	AquAdvantage Salmon	"AquaBounty Technologies, Inc."
141-455	GALLIPRANT¨	Elanco US Inc.
141-456	SILEO¨	Orion Corp.
141-457	ENTYCE¨	"Aratana Therapeutics, Inc."
141-458	Equioxx¨	"Merial, Inc."
141-459	BRAVECTO¨	"Intervet, Inc."
141-460	Aivlosin¨ 17%	ECO LLC
141-461	NOCITA¨	"Aratana Therapeutics, Inc."
141-463	onsiorª	Elanco US Inc.
141-465	Inteprityª and Cobanª	Elanco US Inc.
141-466	Inteprityª and Maxibanª	Elanco US Inc.
141-467	Inteprityª and Montebanª	Elanco US Inc.
141-468	Stafac¨ and Bio-Cox¨	Phibro Animal Health Corp.
141-469	Stafac¨ and AMPROL¨	Phibro Animal Health Corp.
141-470	Stafac¨ and Avatec¨	Phibro Animal Health Corp.
141-472	Clinacox¨ and Stafac¨	Huvepharma EOOD
141-473	Stenorol¨ and LINCOMIX¨	Huvepharma EOOD
141-474	Itrafungolª	Elanco US Inc.
141-475	TANOVEAª-CA1	VetDC
141-479	None	"Praxair Mexico, S. de R.L. de C.V."
141-481	Miratazª	"Kindred Biosciences, Inc."
141-482	Robenz¨ and LINCOMIX¨	Zoetis Inc.
141-483	Deccox¨ and LINCOMIX¨	Zoetis Inc.
141-484	Bio-Cox¨ and LINCOMIX¨	Zoetis Inc.
141-485	COYDEN¨ and LINCOMIX¨	Zoetis Inc.
141-486	None	"Praxair Mexico, S. de R.L. de C.V."
141-488	Avatec¨ and LINCOMIX¨	Zoetis Inc.
141-489	Zoamix¨ and LINCOMIX¨	Zoetis Inc.
141-491	Cobanª and LINCOMIX¨	Zoetis Inc.
141-492	Centragardª	"Merial, Inc."
141-493	None	"Linde Gas Puerto Rico, Inc."
141-494	Credelioª	Elanco US Inc.
141-495	Inteprityª and Bio-Cox¨	Elanco US Inc.
141-501	Semintra¨	"Boehringer Ingelheim Vetmedica, Inc."
141-508	Experiorª	Elanco US Inc.
200-007	Liqui-Vict 2Xª	"Happy Jack, Inc."
200-008	"Bio-Mycin¨ 200 , Oxy-Tet¨ 200 Injectable Solution"	"Boehringer Ingelheim Vetmedica, Inc."
200-023	Gentamicin Sulfate Solution 100 mg/ml	Cronus Pharma Specialities India Private Limited
200-026	Pennox 343¨	Pharmgate LLC
200-027	Nicarmix 25¨	Planalquimica Industrial Ltda.
200-029	Ketamine Hydrochloride Injection	Cronus Pharma Specialities India Private Limited
200-030	DI-METHOX¨	Huvepharma EOOD
200-031	DI-METHOX¨	"Agri Laboratories, Ltd."
200-033	Uniprimª Powder	Neogen Corp.
200-037	"Gentamicin Sulfate Solution, Legacy Sterile Solution"	Huvepharma EOOD
200-038	"Di-Methox Injection 40%, Sulfadimethoxine Injection 40%"	Huvepharma EOOD
200-042	"Ketamine Hydrochloride Injection, USP"	"Bayer HealthCare LLC, Animal Health Division"
200-046	Neomycin Sulfate	Zoetis Inc.
200-049	Tetra-Bac¨ 324	Huvepharma EOOD
200-050	NeoMed¨ Soluble Powder	Bimeda Animal Health Limited
200-055	VetaKet¨	"Akorn Animal Health, Inc."
200-061	Flu-Nixª	Huvepharma EOOD
200-066	AGRIMYCIN¨-343	Huvepharma EOOD
200-068	Oxytetracycline Hydrochloride Injection	Huvepharma EOOD
200-069	"Fertelinª, OvaCystª"	Bimeda Animal Health Limited
200-070	IsoFloª	Zoetis Inc.
200-071	Euthasol¨	"Virbac AH, Inc."
200-073	"Ketamine Hydrochloride Injection, USP"	"Putney, Inc."
200-075	Sacox¨ 60	Huvepharma EOOD
200-082	BMD¨ / Sacox¨	Huvepharma EOOD
200-083	Flavomycin¨ / Sacox¨	Huvepharma EOOD
200-088	Sedazineª	"Boehringer Ingelheim Vetmedica, Inc."
200-089	Baciferm¨ / Sacox¨	Huvepharma EOOD
200-095	Aureomycin¨ / Sacox¨	Huvepharma EOOD
200-096	Sacox¨ / Terramycin¨	Huvepharma EOOD
200-102	Gentaglydeª Solution	Zoetis Inc.
200-103	"PenAqua Sol-G¨, Penicillin G Potassium, USP"	Bimeda Animal Health Limited
200-106	R-Pen	Huvepharma EOOD
200-108	Dexamethasone Solution	Huvepharma EOOD
200-109	Veleniumª	Zoetis Inc.
200-113	Biosol¨ Liquid	Zoetis Inc.
200-115	Gentamexª 100	Bimeda Animal Health Limited
200-117	"Oxyshot¨ LA, Tetroxy¨ - LA"	Bimeda Animal Health Limited
200-118	Neomycin Oral Solution	Huvepharma EOOD
200-122	Solu-Pen	Zoetis Inc.
200-123	"Maxim-200¨ Injection, Oxytetracycline Hydrochloride Injection 200mg"	Huvepharma EOOD
200-124	Flunixin Meglumine Injection	"Bayer HealthCare LLC, Animal Health Division"
200-126	Phenylbutazone 20% Injection	"Bayer HealthCare LLC, Animal Health Division"
200-127	"PROSPEC¨ Injectable, Spectinomycin Injectable"	Zoetis Inc.
200-128	Agrimycin¨ - 200	Huvepharma EOOD
200-129	"Isoflurane, USP"	Halocarbon Products Corp.
200-130	Neo-Sol¨ 50	Huvepharma EOOD
200-134	Fertagyl¨	"Intervet, Inc."
200-136	"Tetracycline HCL Powder, Tetracycline Hydrochloride Soluble Powder-324"	"Quo Vademus, LLC"
200-137	GentaMax¨ 100	"Bayer HealthCare LLC, Animal Health Division"
200-139	Chanazine¨	Chanelle Pharmaceuticals Manufacturing Ltd.
200-141	ATTANEª	"Piramal Critical Care, Inc."
200-142	Flunixin Meglumine Solution	Zoetis Inc.
200-144	"Tetroxy¨ HCA-280, Tetroxy¨ HCA-1772, Tetroxy¨ HCA-1400"	Bimeda Animal Health Limited
200-146	Tetroxy¨ 25	Bimeda Animal Health Limited
200-147	"Genta-Ject¨, Gentamicin Sulfate Injection"	Huvepharma EOOD
200-153	Neo 200 Oral Solution	Huvepharma EOOD
200-154	"Oxytetracycline 200, Pennoxª 200"	Pharmgate LLC
200-162	Tripelennamine Hydrochloride Injection	Huvepharma EOOD
200-164	BMD¨ / Nicarmix 25¨	Planalquimica Industrial Ltda.
200-165	SDM Sulfadimethoxine Concentrated Solution 12.5%	Cronus Pharma Specialities India Private Limited
200-168	CW 48 (Type A Medicated Article)	"Farnam Companies, Inc."
200-174	Gentamicin Sulfate Pig Pump Oral Solution	Huvepharma EOOD
200-176	Prazitechª	Bimeda Animal Health Limited
200-177	Sulfadimethoxine Injection 40%	Huvepharma EOOD
200-178	Amikacin Sulfate Injection	Cronus Pharma Specialities India Private Limited
200-180	Ampicillin Trihydrate	G.C. Hanford Mfg. Co.
200-181	AmiMaxª E Solution	"Bayer HealthCare LLC, Animal Health Division"
200-183	VET BETA-GEN¨	"Med-Pharmex, Inc."
200-184	Chanazine¨	Chanelle Pharmaceuticals Manufacturing Ltd.
